rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
102|956.2108941284656|755|Genesis Kami #755|Immortal okane mochi|Katana 2|White|White angry eyes|Brown turtle|Silver spear|Smile|Gold cyberpunk glasses|Red japan bangs|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/755
103|951.3256772407954|1309|Genesis Kami #1309|Coin sakura|Gold buster sword|Cream|Purple good boy|Red cape|Silver ring 1|Haha|Blue anti toxic mask|Gray under cut|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1309
104|950.9362229643522|2795|Genesis Kami #2795|Fossil blue fire ghost|Katana 1|Black|Green angry eyes|Red fur|Gold ring 2|Smirk|Red anti toxic mask|Red nippon|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2795
105|949.2034430661594|2734|Genesis Kami #2734|Flint|Katana 1|Titanium|Black grievous|Blue biker jacket|Silver chain|White rose|Bandage cheek & nose|White wuxia|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2734
106|948.5495216825774|3331|Genesis Kami #3331|Immortal coin dark feather aura|None|Cream|Yellow good boy|Purple white hood|Black spear|Gritted|Black pirate eyepatch|White oppa|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3331
107|948.0962471154082|3644|Genesis Kami #3644|Sandstone|Red wand|White|Yellow cold|Black gold pimp|Silver triple ring right|Neutral|Gold opera kamen|Red oppa|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3644
108|948.0630165370229|1005|Genesis Kami #1005|Immortal okane mochi|Berserker blade|Brown|Yellow demon|Red turtle|Gold short long|Smile|White opera kamen|Mint ikemen|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1005
109|946.3148104103151|1837|Genesis Kami #1837|Seaweed|None|White|White grievous|Pharoh|Silver ring 2|Smile|Red shadow mask|Gray cornrow braids|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1837
110|946.0275276483475|3232|Genesis Kami #3232|Teal kase|Purple scythe|Brown|Purple good boy|Purple white hood|Silver double long right|Haha|Green anti toxic mask|Brown nippon|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3232
111|944.8363357078474|1570|Genesis Kami #1570|Porpoise|Gray scythe|White|White angry eyes|Black white clown|Silver chain|Angry|Red shadow mask|White disheveled|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1570
112|940.9848816303972|3814|Genesis Kami #3814|Slate purple fire ghost|None|Cream|Red gentle|Red white kimono|Gold fan|Angry|Red oni mask|Red disheveled|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3814
113|938.2368964865254|2987|Genesis Kami #2987|Sky|Katana 2|Cream|Purple angry eyes|Blue priest|Yellow fan|Angry|Black oni mask|Brown kpop 1|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2987
114|933.7221922752703|4381|Genesis Kami #4381|Chocolate black red thunder|Katana 1|White|Purple satan|Black hood|Gold spear|Blue gum|Black mekakushi|Gray disheveled|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4381
115|933.6024260760735|1701|Genesis Kami #1701|Mahogany|Purple scythe|Cream|Black strained|Red gangster suit|Sky blue feather|Smirk|Black danzo mekakushi|Black ikemen|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1701
116|932.7936408046079|4907|Genesis Kami #4907|Slate red fire ghost|Purple scythe|Black|Yellow gangsta|Purple black hood|Gold ring 1|Smirk|Anti toxic mask|Brown wuxia|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4907
117|932.4454415794678|1019|Genesis Kami #1019|Black fire|Gray scythe|Cream|Sky blue strained|Black gakuran|Gold double long right|Mild smile|Houtai cheek & nose|Black cornrow braids|White minotaur horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1019
118|931.9230220533923|2986|Genesis Kami #2986|Shadow|Purple scythe|Cream|Green gentle|Red turtle|None|Pink gum|Houtai cheek|White slick hair|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2986
119|931.3256508482663|600|Genesis Kami #600|Wood|None|Cream|Green grievous|White black kimono|Silver fan|Haha|Black oni mask|Purple wuxia|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/600
120|931.0567993229594|4051|Genesis Kami #4051|Oat|Purple scythe|Titanium|Purple determined|Purple lord|Gold dot|Neutral|Red shadow mask|Brownish orange ikemen|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4051
121|930.1110473665635|3916|Genesis Kami #3916|Hazulnut grass flower|Shikigami|Cream|Black good boy|Gold kimono|Black red kss hanafuda|Smile|None|Mint kpop 1|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3916
122|927.943949520198|3978|Genesis Kami #3978|Olive|None|Brown|Red good boy|White father|Silver double long right|Smirk|Gold anti toxic mask|Brown slick hair|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3978
123|927.4420706643256|4307|Genesis Kami #4307|Seaweed|Spear|Black|White gentle|Light gray fur|Silver double long right|Smile|Green anti toxic mask|Brown cornrow braids|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4307
124|925.813614546541|3248|Genesis Kami #3248|Pine|Berserker blade|Titanium|White angry eyes|Black gakuran|Silver dot|Blue rose|Brown pirate eyepatch|Red madara|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3248
125|925.7490496706381|1117|Genesis Kami #1117|Immortal okane mochi|Gray scythe|Titanium|Black angry eyes|Light gray fur|Silver ring 1|Smile|Black pirate eyepatch|Brown long hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1117
126|925.7315508101899|3793|Genesis Kami #3793|Immortal galaxy sakura|Purple scythe|Cream|Red angry eyes|Purple gakuran|Silver spear|Haha|Blue sunglasses|Red kpop 1|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3793
127|925.5474741840704|1046|Genesis Kami #1046|Lead fire fairy|Gold berserker|Cream|Purple grievous|White black clown|Black spear|Mild smile|Red shadow mask|Black shonen|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1046
128|924.2532535615968|1441|Genesis Kami #1441|Shadow|None|Brown|Red gentle|Blue biker jacket|Sky blue feather|Angry|Green anti toxic mask|Mint harajuku|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1441
129|923.8997169581678|2058|Genesis Kami #2058|Flint|None|Cream|Sky blue good boy|Red cyberpunk suit|White skull|Haha|Red shadow mask|Gray ikemen|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2058
130|923.2230092874779|16|Genesis Kami #16|Seaweed|Brush|White|White grievous|White silver pimp|Silver ring 1|Angry|Green anti toxic mask|Black cornrow braids|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/16
131|921.5647995550395|4742|Genesis Kami #4742|Chocolate black red thunder|None|Cream|Sky blue aggressive|Blue hood|Silver ring 2|Smile|Houtai cheek & nose|Gold disheveled|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4742
132|917.793162067867|3626|Genesis Kami #3626|Lead earth fairy|Berserker blade|Cream|Red determined|Blue biker jacket|Silver four ring right|Cigar|Megane|Gray wuxia|Rad devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3626
133|916.1418579851331|5401|Genesis Kami #5401|Immortal okane mochi|Red wand|Cream|Red gentle|Blue gangster suit|Gold chain|Black rose|Black mekakushi|Brownish orange japan bangs|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5401
134|912.4679393348608|4193|Genesis Kami #4193|Rosewood|Katana 1|White|Red vampire|Purple turtle|None|Pink gum|Brown sunglasses|Gray shonen|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4193
135|911.5097911826363|30|Genesis Kami #30|Silver|None|White|Red vampire|Red biker jacket|Black spear|Smile with teeth|Black opera kamen|Brownish orange under cut|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/30
136|910.7848113994803|5253|Genesis Kami #5253|Lavender|Silver berserker|White|Yellow cold|Dark tribal|Silver skull|Haha|Red shadow mask|Brownish orange long hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5253
137|909.4219467939052|2877|Genesis Kami #2877|Silver|Gray scythe|White|Pink grievous|Blue cape|Silver double long right|Smile|Round glasses small|Red oppa|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2877
138|909.0879324430939|1138|Genesis Kami #1138|Blizzard night|Purple wand|Gray|White aggressive|Black wing angel|Gold short long|Smile|Red shadow mask|Gray shonen|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1138
139|908.2146728962598|2245|Genesis Kami #2245|Porpoise|Purple scythe|White|Yellow angry eyes|Blue cape|Silver ring 2|Gritted|None|Black shonen|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2245
140|905.2087365213911|286|Genesis Kami #286|Hazel wood dry leaves|Berserker blade|Cream|White grievous|Black ronin|Silver double long right|Smirk|Red oni mask|Gray under cut|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/286
141|902.4671439034742|4973|Genesis Kami #4973|Flint|None|Cream|Black good boy|Black hood|Silver ring 3|Smirk|Red anti toxic mask|Mint slick hair|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4973
142|900.7625077657398|655|Genesis Kami #655|Oat|Purple scythe|Brown|Green good boy|White father|Silver four ring right|Neutral|Red shadow mask|Brown madara|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/655
143|900.543139672797|4859|Genesis Kami #4859|Seaweed|None|Cream|Sky blue gangsta|Red hood|Silver double ring right 1|Smile|Green anti toxic mask|White nippon|Rad devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4859
144|900.1432607238256|2582|Genesis Kami #2582|Umber|None|Cream|Purple gentle|Black gold samurai|White black fluffy|Haha|Black oni mask|Purple nippon|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2582
145|899.7372026314847|589|Genesis Kami #589|Sandstone maple leaf|None|White|Red satan|Purple wizard|Gold double long right|Gritted|None|Mint disheveled|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/589
146|897.7983212193705|1127|Genesis Kami #1127|Chocolate black red thunder|None|White|Yellow determined|Black gangster suit|Sky blue feather|Mild smile|None|Gold ikemen|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1127
147|897.5046267404931|1152|Genesis Kami #1152|Mahogany|Purple wand|Brown|White gentle|White gold pimp|Black feather|Smile|Green anti toxic mask|Purple harajuku|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1152
148|897.3660230434284|904|Genesis Kami #904|Porpoise fire fairy|None|Gray|Green gentle|White ronin|Silver triple ring right|Smile|Black oni mask|White kpop 1|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/904
149|895.2646528566039|4754|Genesis Kami #4754|Silver|None|Cream|Sky blue good boy|Purple cape|White feather|Neutral|Anti toxic mask|Red cornrow braids|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4754
150|894.8919880009137|3437|Genesis Kami #3437|Pink sakura|Brush|Cream|Green aggressive|Black red kimono|Red black fluffy|Gritted|Mask gangster|Gold oppa|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3437
151|893.4664603108603|4318|Genesis Kami #4318|Porpoise white purple|None|Cream|Sky blue angry eyes|Black ronin|Black gold kss hanafuda|Haha|Mask gangster|White long hair|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4318
152|893.443698254299|1663|Genesis Kami #1663|Immortal okane mochi|Red scythe|White|Pink gangsta|Red father|Gold spear|Blue gum|White kamen|Red nippon|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1663
153|892.9512957382224|4686|Genesis Kami #4686|Sandstone|Katana 1|Cream|Yellow determined|Gray binbo|Red feather|Smile|Red oni mask|Brown long hair|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4686
154|892.8875005310733|3534|Genesis Kami #3534|Shadow|Spear|Black|Sky blue satan|Blue gangster suit|Gold dot|Haha|Gold cyberpunk glasses|Mint ikemen|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3534
155|892.4398840060728|2310|Genesis Kami #2310|Red fire|None|White|Green cold|White silver pimp|Silver double ring right 2|Gritted|Blue cyberpunk glasses|Brownish orange ikemen|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2310
156|892.240387868345|1404|Genesis Kami #1404|Immortal galaxy sakura|Katana 1|White|Red good boy|White red kimono|Gold dot|Haha|Ninja mask|Brownish orange madara|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1404
157|891.7864573631749|2599|Genesis Kami #2599|Hazulnut grass flower|Berserker blade|Cream|Gray demon|Black white kimono|Yellow fan|Knife|Houtai both cheek|Gold kpop 1|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2599
158|891.0622943082402|164|Genesis Kami #164|Immortal okane mochi|None|White|Purple determined|Black fur|Gold spear|Angry|Gold cyberpunk glasses|Gold harajuku|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/164
159|888.702901923279|888|Genesis Kami #888|Slate blue fire ghost|Purple scythe|White|Green angry eyes|White gakuran|Silver dot|Blue rose|Brown pirate eyepatch|Gray slick hair|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/888
160|888.2825701967919|4063|Genesis Kami #4063|Mahogany|Silver buster sword|Cream|Sky blue satan|Black shirt|Silver double ring right 2|Gritted|Red opera kamen|Brown slick hair|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4063
161|888.2528750980495|3995|Genesis Kami #3995|Immortal galaxy sakura|Red scythe|White|Red angry eyes|Black wing angel|Silver double ring right 2|Smirk|None|Red wuxia|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3995
162|887.4115839460943|2081|Genesis Kami #2081|Hickory|Spear|Cream|White gentle|Red bondage|Silver fan|Mild smile|Mask gangster|Mint cornrow braids|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2081
163|887.1880964861884|2648|Genesis Kami #2648|Slate purple fire ghost|Brush|White|Gray demon|White father|Gold ring 2|Angry|Blue anti toxic mask|Gray madara|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2648
164|883.8048521697217|5067|Genesis Kami #5067|Fossil kase|Red scythe|White|Green satan|Red fur|Silver double long right|Mild smile|Bandage cheek|Black long hair|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5067
165|883.6920864250314|5174|Genesis Kami #5174|Porpoise water fairy|Katana 2|Cream|Yellow strained|Black hood|Gold chain|Mild smile|Mekakushi houtai|Brown nippon|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5174
166|881.2120736349234|1112|Genesis Kami #1112|Fossil kase|None|Brown|Purple grievous|Red gakuran|Silver chain|Smile with teeth|Blue anti toxic mask|Mint nippon|Smile mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1112
167|881.0417198493676|147|Genesis Kami #147|Cyberpunk system|Katana 1|White|Yellow gentle|White gakuran|nail|Smile|Brown sunglasses|White wuxia|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/147
168|880.7722910467204|3582|Genesis Kami #3582|Porpoise blue thunder|Gray scythe|White|Purple satan|Black fur|Silver dot|Smirk|Houtai cheek|Black disheveled|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3582
169|879.8861830463376|5229|Genesis Kami #5229|Silver|Katana 1|White|Black cold|Black gakuran|Sky blue feather|Smirk|Black mekakushi|White japan bangs|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5229
170|879.7491554258024|3440|Genesis Kami #3440|Immortal okane mochi|Brush|Cream|Black angry eyes|Purple wizard|Gold dot|Smirk|None|Brown under cut|Black baby dragon|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3440
171|876.5602931475856|3802|Genesis Kami #3802|Porpoise|Purple wand|Cream|White good boy|Black shirt|Gold ring 1|Blue rose|Eyepatch|Black kpop 1|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3802
172|875.1297163013637|3491|Genesis Kami #3491|Immortal red dark feather aura|None|Cream|Red strained|White cape|nail|White rose|Bandage cheek & nose|Mint under cut|White baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3491
173|873.7928938603432|984|Genesis Kami #984|Hickory|Gold buster sword|Cream|Sky blue cold|White gold pimp|Gold chain|Neutral|Blue anti toxic mask|Red disheveled|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/984
