rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
208|154.94413399355847|343|Nerd Ape Dao #343|Yellow|Water|Sheriff|Red Cat|Green beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/343
209|154.84398028269874|1055|Nerd Ape Dao #1055|Beige|Robot|Pirate|Red|Apple|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1055
210|154.7979194203311|897|Nerd Ape Dao #897|Beige|Robot|Brown jacket|3D|Gold hair|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/897
211|154.7464815867825|779|Nerd Ape Dao #779|Beige|Cream|Lab|Heart|Cowboy hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/779
212|154.70703652562517|255|Nerd Ape Dao #255|Yellow|Red|Banana hawaii|Black Nerd|Adventure hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/255
213|154.6348341786301|815|Nerd Ape Dao #815|Light purple|Zombie|Black suit|Hearteye|Fastfood|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/815
214|154.4926129187629|771|Nerd Ape Dao #771|Green mint|Gray|Tuxedo|Glasses|Gold crown|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/771
215|154.44993978200216|1194|Nerd Ape Dao #1194|Pink|Lav|Pink hoodie|Shy|Red bob|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1194
216|154.40918269574627|1087|Nerd Ape Dao #1087|Pink|Zombie|Rasta hawaii|Red|Pirate hat|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1087
217|154.39914931618603|471|Nerd Ape Dao #471|Green mint|Black|White singlet|Rainbow|Newsboy cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/471
218|154.1673903686179|886|Nerd Ape Dao #886|Pink|Lav|Stripedtee|Demon|Apple|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/886
219|154.01490522841567|229|Nerd Ape Dao #229|Yellow|Cream|Brown jacket|Heart|Propeller cap|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/229
220|153.98338337160615|162|Nerd Ape Dao #162|Light purple|Cream|Pink hoodie|Oneeye|Gold crown|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/162
