rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
102|🟢+3|Nerd Ape Dao #841|174.05453423278462|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/841|Light purple|Tiger|Sheriff|Shy|Gold crown|Cigarette
103|🟢+3|Nerd Ape Dao #166|173.6913740971577|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/166|Light purple|Gold|Lab|Dizzy|Biker helmet|Smile
104|🔴-6|Nerd Ape Dao #853|173.07887269847055|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/853|Blue|Dark brown|Stripedtee|Half Robot|Adventure hat|Candy
105|🔴-2|Nerd Ape Dao #467|172.8792289816935|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/467|Beige|Lav|Black turtleneck|Oval|Pink bucket|Open
106|🟢+2|Nerd Ape Dao #462|172.86299007517633|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/462|Yellow|White|Hawaii|Red Beam|Newsboy cap|Sneaky
107|🔴-13|Nerd Ape Dao #1015|172.83562324161952|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1015|Red|Tiger|Adventure|Half Robot|Pirate hat|Cigarette
108|🟢+2|Nerd Ape Dao #1305|172.1331136560069|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1305|Green mint|Tiger|Blue vest|X|Gold crown|Cigarette
109|🔴-7|Nerd Ape Dao #1014|171.91333573219887|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1014|Blue|Cream|Brown jacket|Square|Gold crown|Cigar
110|🔴-1|Nerd Ape Dao #1011|171.78972408924824|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1011|Yellow|Cream|Flower Hawaii|Solar_beam|Green beret|Cigar
111|🟢+1|Nerd Ape Dao #476|171.76561060317223|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/476|Yellow|Dark brown|Hawaii|Red Beam|White bucket hat|Cigar
112|🟢+2|Nerd Ape Dao #1167|170.87862352946527|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1167|Pink|Gold|Black turtleneck|Red Cat|Blue headscarf|Close
113|🟢+4|Nerd Ape Dao #664|170.77196683670374|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/664|Pink|White|Silverchain|Red Beam|Blue cap|Burger
114|🔴-7|Nerd Ape Dao #753|170.5990466755121|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/753|Red|Light brown|Black vest|Solar_beam|Green beret|Gold Grillz
115|🟢+4|Nerd Ape Dao #1353|170.1384442485718|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1353|Pink|Water|Silverchain|Solar_beam|Apple|Burger
116|🔵|Nerd Ape Dao #438|169.96591470022906|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/438|Beige|Dark brown|Rasta hawaii|Rainbow|Staw hat|Smile
117|🔴-13|Nerd Ape Dao #1343|169.81983656758416|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1343|Yellow|Pink|Adventure|Half Robot|White bucket hat|Grillz
118|🔵|Nerd Ape Dao #163|169.8038736684884|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/163|Pink|Robot|Lab|Eyepatch|Staw hat|420
119|🟢+2|Nerd Ape Dao #520|169.66613189412143|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/520|Yellow|Pink|Goldchain|Solar_beam|Cowboy hat|Smile
120|🔴-7|Nerd Ape Dao #392|168.9317905534297|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/392|Yellow|Light brown|Purple hoodie|Solar_beam|Pink bucket|420
121|🟢+1|Nerd Ape Dao #1230|168.9035573851551|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1230|Light purple|Robot|Lab|Close|Pink beanie|Tongue_out
122|🔴-2|Nerd Ape Dao #533|168.5369177091123|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/533|Blue|Water|Red singlet|3D|Gold crown|Candy
